objekt,scena,total_matches,true_positives,precision,runtime
1,1,515,508,0.9864077669902913,8.2473
1,10,388,296,0.7628865979381443,7.9726
1,11,510,505,0.9901960784313726,7.5397
1,12,450,425,0.9444444444444444,7.5142
1,13,520,466,0.8961538461538462,6.8623
1,14,488,480,0.9836065573770492,7.1711
1,15,492,478,0.9715447154471545,6.9836
1,16,549,548,0.9981785063752276,7.2443
1,17,500,495,0.99,6.9304
1,18,456,429,0.9407894736842105,7.2381
1,19,521,514,0.9865642994241842,6.8513
1,2,551,548,0.9945553539019963,7.2069
1,20,517,492,0.9516441005802708,6.9557
1,3,304,246,0.8092105263157895,7.0441
1,4,538,536,0.9962825278810409,6.9334
1,5,437,418,0.9565217391304348,7.1516
1,6,446,390,0.874439461883408,6.8944
1,7,315,294,0.9333333333333333,6.9441
1,8,525,520,0.9904761904761905,7.1401
1,9,524,521,0.9942748091603053,7.1189
2,1,342,337,0.9853801169590644,7.2673
2,10,349,347,0.994269340974212,7.2735
2,11,320,320,1.0,7.2853
2,12,290,256,0.8827586206896552,7.3495
2,13,304,288,0.9473684210526315,7.0835
2,14,341,320,0.9384164222873901,7.3484
2,15,350,343,0.98,7.1562
2,16,300,285,0.95,7.4062
2,17,359,354,0.9860724233983287,7.2732
2,18,350,335,0.9571428571428572,7.3562
2,19,287,173,0.6027874564459931,7.1046
2,2,336,292,0.8690476190476191,7.3152
2,20,308,301,0.9772727272727273,7.1253
2,3,323,317,0.9814241486068112,7.3178
2,4,296,210,0.7094594594594594,7.096
2,5,303,298,0.9834983498349835,7.4347
2,6,294,284,0.9659863945578231,7.2019
2,7,274,210,0.7664233576642335,7.3174
2,8,358,357,0.9972067039106145,7.4021
2,9,344,330,0.9593023255813954,7.5062
3,1,431,429,0.9953596287703016,7.1855
3,10,406,401,0.9876847290640394,6.9896
3,11,384,355,0.9244791666666666,6.8661
3,12,282,198,0.7021276595744681,6.8891
3,13,364,309,0.8489010989010989,6.7012
3,14,378,343,0.9074074074074074,7.0013
3,15,376,341,0.9069148936170213,6.7818
3,16,366,316,0.8633879781420765,7.0204
3,17,434,429,0.988479262672811,6.9731
3,18,412,412,1.0,7.1459
3,19,422,420,0.995260663507109,6.7869
3,2,433,430,0.9930715935334873,6.9695
3,20,424,420,0.9905660377358491,6.8818
3,3,425,423,0.9952941176470588,7.0322
3,4,421,417,0.9904988123515439,6.8807
3,5,418,414,0.9904306220095693,7.1035
3,6,412,397,0.9635922330097088,6.843
3,7,429,428,0.9976689976689976,6.8818
3,8,385,361,0.9376623376623376,6.933
3,9,432,428,0.9907407407407407,7.1099
4,1,64,57,0.890625,6.6463
4,10,41,38,0.926829268292683,6.7432
4,11,76,69,0.9078947368421053,6.606
4,12,73,66,0.9041095890410958,6.6601
4,13,53,44,0.8301886792452831,6.5921
4,14,24,18,0.75,6.9069
4,15,11,10,0.9090909090909091,6.6372
4,16,45,38,0.8444444444444444,6.8064
4,17,62,60,0.967741935483871,6.6572
4,18,13,10,0.7692307692307693,6.7845
4,19,49,35,0.7142857142857143,6.5311
4,2,66,54,0.8181818181818182,6.7122
4,20,66,62,0.9393939393939394,6.5665
4,3,25,6,0.24,6.7425
4,4,54,51,0.9444444444444444,6.5794
4,5,30,25,0.8333333333333334,6.8632
4,6,69,65,0.9420289855072463,6.7832
4,7,54,46,0.8518518518518519,6.5389
4,8,32,29,0.90625,6.8541
4,9,7,6,0.8571428571428571,6.8355
5,1,79,42,0.5316455696202531,6.6467
5,10,108,104,0.9629629629629629,6.577
5,11,105,102,0.9714285714285714,6.7857
5,12,98,95,0.9693877551020408,6.4461
5,13,85,70,0.8235294117647058,6.6936
5,14,63,23,0.36507936507936506,6.4866
5,15,67,19,0.2835820895522388,6.5243
5,16,49,15,0.30612244897959184,6.7853
5,17,96,86,0.8958333333333334,6.6173
5,18,42,20,0.47619047619047616,6.9512
5,19,70,36,0.5142857142857142,6.5773
5,2,45,36,0.8,6.7104
5,20,75,71,0.9466666666666667,7.0152
5,3,63,51,0.8095238095238095,6.7971
5,4,58,47,0.8103448275862069,7.1221
5,5,108,105,0.9722222222222222,6.9833
5,6,51,9,0.17647058823529413,7.1555
5,7,101,88,0.8712871287128713,6.7922
5,8,95,93,0.9789473684210527,7.0328
5,9,49,38,0.7755102040816326,6.9213
6,1,418,416,0.9952153110047847,7.2542
6,10,341,329,0.9648093841642229,7.297
6,11,460,459,0.9978260869565218,7.2081
6,12,456,452,0.9912280701754386,7.2185
6,13,463,462,0.9978401727861771,7.1774
6,14,430,426,0.9906976744186047,7.3073
6,15,417,414,0.9928057553956835,7.2575
6,16,459,455,0.9912854030501089,7.3462
6,17,455,452,0.9934065934065934,7.2436
6,18,435,421,0.967816091954023,7.3255
6,19,392,375,0.9566326530612245,6.9997
6,2,286,209,0.7307692307692307,7.1046
6,20,372,345,0.9274193548387096,7.0519
6,3,463,463,1.0,7.3
6,4,448,444,0.9910714285714286,7.2189
6,5,461,459,0.9956616052060737,7.3062
6,6,455,454,0.9978021978021978,7.074
6,7,442,442,1.0,7.262
6,8,448,447,0.9977678571428571,7.1861
6,9,428,427,0.9976635514018691,7.3307
